mol_id,melting_point,n_atoms
mol_000000,355.15,16
mol_000001,373.65,28
mol_000002,373.75,27
mol_000003,373.7,41
mol_000004,374.25,39
mol_000005,373.0,48
mol_000006,374.15,28
mol_000007,373.65,36
mol_000008,373.65,19
mol_000009,373.65,32
mol_000010,373.5,37
mol_000011,373.4,19
mol_000012,373.4,41
mol_000013,373.4,34
mol_000014,373.15,30
mol_000015,373.15,36
mol_000016,373.15,25
mol_000017,373.15,34
mol_000018,373.15,29
mol_000019,373.15,37
mol_000020,373.15,33
mol_000021,373.15,28
mol_000022,373.15,18
mol_000023,372.9,23
mol_000024,372.9,32
mol_000025,372.9,31
mol_000026,372.9,25
mol_000027,372.7,17
mol_000028,372.65,34
mol_000029,373.35,39
mol_000030,372.85,30
mol_000031,372.8,39
mol_000032,372.65,20
mol_000033,372.45,22
mol_000034,373.4,24
mol_000035,373.25,36
mol_000036,372.95,30
mol_000037,372.55,22
mol_000038,372.4,33
mol_000039,372.4,20
mol_000040,372.4,37
mol_000041,372.4,26
mol_000042,372.4,39
mol_000043,372.4,22
mol_000044,372.4,34
mol_000045,372.4,33
mol_000046,372.4,34
mol_000047,372.4,28
mol_000048,372.4,45
mol_000049,395.65,23
mol_000050,378.35,39
mol_000051,378.35,39
mol_000052,375.15,21
mol_000053,375.15,37
mol_000054,374.65,19
mol_000055,374.65,34
mol_000056,374.15,36
mol_000057,374.15,33
mol_000058,374.15,27
mol_000059,374.15,38
mol_000060,374.15,34
mol_000061,374.15,34
mol_000062,373.65,18
mol_000063,373.65,31
mol_000064,373.65,26
mol_000065,373.65,25
mol_000066,373.65,47
mol_000067,373.65,31
mol_000068,373.65,19
mol_000069,373.65,28
mol_000070,373.65,36
mol_000071,373.65,29
mol_000072,373.65,24
mol_000073,373.65,26
mol_000074,373.65,45
mol_000075,373.65,31
mol_000076,373.65,39
mol_000077,373.65,33
mol_000078,373.65,36
mol_000079,373.65,24
mol_000080,373.65,30
mol_000081,373.65,46
mol_000082,373.65,39
mol_000083,373.65,23
mol_000084,373.65,25
mol_000085,373.65,26
mol_000086,373.65,39
mol_000087,373.65,27
mol_000088,373.65,37
mol_000089,373.65,19
mol_000090,373.65,30
mol_000091,373.65,34
mol_000092,373.4,42
mol_000093,373.4,29
mol_000094,373.15,27
mol_000095,373.15,33
mol_000096,373.15,29
mol_000097,373.15,26
mol_000098,373.15,34
mol_000099,373.15,12
mol_000100,373.15,33
mol_000101,373.15,32
mol_000102,373.15,46
mol_000103,373.15,30
mol_000104,373.15,31
mol_000105,373.15,30
mol_000106,373.15,29
mol_000107,373.15,26
mol_000108,373.15,42
mol_000109,373.15,30
mol_000110,373.15,33
mol_000111,373.15,31
mol_000112,373.15,25
mol_000113,373.15,25
mol_000114,373.15,28
mol_000115,373.15,38
mol_000116,373.15,35
mol_000117,373.15,19
mol_000118,373.15,39
mol_000119,373.15,27
mol_000120,373.15,30
mol_000121,373.15,16
mol_000122,373.15,16
mol_000123,373.15,16
mol_000124,373.15,16
mol_000125,373.15,34
mol_000126,373.15,26
mol_000127,373.15,28
mol_000128,373.15,29
mol_000129,373.15,28
mol_000130,373.15,29
mol_000131,373.15,34
mol_000132,373.15,20
mol_000133,373.15,32
mol_000134,373.15,43
mol_000135,373.15,29
mol_000136,373.15,26
mol_000137,373.15,29
mol_000138,373.15,25
mol_000139,373.15,28
mol_000140,373.15,37
mol_000141,373.15,31
mol_000142,373.15,40
mol_000143,373.15,33
mol_000144,373.15,25
mol_000145,373.15,28
mol_000146,373.15,16
mol_000147,373.15,34
mol_000148,373.15,48
mol_000149,373.15,38
mol_000150,373.15,24
mol_000151,373.15,18
mol_000152,373.15,43
mol_000153,373.15,40
mol_000154,373.15,27
mol_000155,373.15,34
mol_000156,373.15,22
mol_000157,373.15,28
mol_000158,373.15,31
mol_000159,373.15,28
mol_000160,373.15,46
mol_000161,373.15,35
mol_000162,373.15,40
mol_000163,373.15,20
mol_000164,373.15,29
mol_000165,373.15,34
mol_000166,373.15,35
mol_000167,373.15,29
mol_000168,373.15,36
mol_000169,373.15,28
mol_000170,373.15,40
mol_000171,373.15,30
mol_000172,373.15,29
mol_000173,373.15,31
mol_000174,373.15,36
mol_000175,373.15,24
mol_000176,373.15,27
mol_000177,373.15,28
mol_000178,373.15,20
mol_000179,373.15,34
mol_000180,373.15,33
mol_000181,373.15,31
mol_000182,373.15,35
mol_000183,373.15,37
mol_000184,373.15,36
mol_000185,373.15,33
mol_000186,373.15,41
mol_000187,373.15,33
mol_000188,373.15,24
mol_000189,373.15,36
mol_000190,373.15,26
mol_000191,373.15,25
mol_000192,373.15,35
mol_000193,373.15,19
mol_000194,373.15,32
mol_000195,373.15,29
mol_000196,373.15,39
mol_000197,373.15,30
mol_000198,373.15,46
mol_000199,373.15,24
mol_000200,373.15,16
mol_000201,373.15,30
mol_000202,373.15,45
mol_000203,373.15,35
mol_000204,373.15,43
mol_000205,372.9,36
mol_000206,372.9,43
mol_000207,372.9,39
mol_000208,372.75,45
mol_000209,372.65,37
mol_000210,372.65,16
mol_000211,372.65,30
mol_000212,372.65,27
mol_000213,372.65,25
mol_000214,372.65,24
mol_000215,372.65,38
mol_000216,372.65,18
mol_000217,372.65,19
mol_000218,372.65,23
mol_000219,372.65,18
mol_000220,372.65,30
mol_000221,372.65,17
mol_000222,372.65,33
mol_000223,372.65,17
mol_000224,372.65,20
mol_000225,372.65,34
mol_000226,372.65,27
mol_000227,372.65,40
mol_000228,372.65,26
mol_000229,372.65,38
mol_000230,372.65,34
mol_000231,372.65,33
mol_000232,372.65,28
mol_000233,372.65,29
mol_000234,372.65,38
mol_000235,372.65,35
mol_000236,372.65,28
mol_000237,372.65,33
mol_000238,372.65,32
mol_000239,372.65,23
mol_000240,372.65,20
mol_000241,372.65,15
mol_000242,372.65,16
mol_000243,372.65,44
mol_000244,372.65,26
mol_000245,372.65,24
mol_000246,372.65,29
mol_000247,372.65,24
mol_000248,372.65,24
mol_000249,372.65,28
mol_000250,372.65,34
mol_000251,372.65,29
mol_000252,372.65,35
mol_000253,372.65,41
mol_000254,372.65,30
mol_000255,372.65,28
mol_000256,372.65,40
mol_000257,372.65,33
mol_000258,372.65,40
mol_000259,372.65,32
mol_000260,372.65,26
mol_000261,372.65,19
mol_000262,372.65,24
mol_000263,372.65,38
mol_000264,372.65,20
mol_000265,372.65,24
mol_000266,372.65,33
mol_000267,372.65,32
mol_000268,372.65,23
mol_000269,372.65,38
mol_000270,372.65,35
mol_000271,372.65,27
mol_000272,372.65,36
mol_000273,372.65,40
mol_000274,372.65,34
mol_000275,372.65,30
mol_000276,372.65,34
mol_000277,372.65,23
mol_000278,372.65,40
mol_000279,372.65,28
mol_000280,372.65,24
mol_000281,372.65,38
mol_000282,372.65,22
mol_000283,372.65,30
mol_000284,372.65,16
mol_000285,372.65,45
mol_000286,372.65,19
mol_000287,372.65,24
mol_000288,372.65,17
mol_000289,372.65,34
mol_000290,372.65,20
mol_000291,372.65,44
mol_000292,372.65,24
mol_000293,372.65,26
mol_000294,372.65,36
mol_000295,372.65,30
mol_000296,372.65,22
mol_000297,372.65,25
mol_000298,372.65,31
mol_000299,372.65,12
mol_000300,372.65,18
mol_000301,372.65,35
mol_000302,372.65,36
mol_000303,372.65,22
mol_000304,372.65,36
mol_000305,372.65,39
mol_000306,372.65,28
mol_000307,372.65,33
mol_000308,372.65,30
mol_000309,372.65,39
mol_000310,372.65,40
mol_000311,372.65,26
mol_000312,372.65,36
mol_000313,372.65,44
mol_000314,372.65,39
mol_000315,372.65,44
mol_000316,372.65,28
mol_000317,372.65,28
mol_000318,372.65,39
mol_000319,372.65,39
mol_000320,372.65,34
mol_000321,372.65,44
mol_000322,372.65,45
mol_000323,372.65,40
mol_000324,372.65,38
mol_000325,372.65,39
mol_000326,372.65,48
mol_000327,372.65,44
mol_000328,372.65,25
mol_000329,372.65,32
mol_000330,372.65,39
mol_000331,372.65,22
mol_000332,372.65,38
mol_000333,372.65,23
mol_000334,372.65,22
mol_000335,372.65,29
mol_000336,372.65,36
mol_000337,372.65,39
mol_000338,372.65,20
mol_000339,372.65,28
mol_000340,372.65,18
mol_000341,372.65,27
mol_000342,372.65,24
mol_000343,372.65,32
mol_000344,372.65,21
mol_000345,372.65,33
mol_000346,372.65,31
mol_000347,372.65,28
mol_000348,372.65,36
mol_000349,372.65,31
mol_000350,372.65,29
mol_000351,372.65,36
mol_000352,372.65,42
mol_000353,372.65,46
mol_000354,372.65,35
mol_000355,372.65,30
mol_000356,372.65,43
mol_000357,372.65,31
mol_000358,372.65,30
mol_000359,372.65,31
mol_000360,372.65,34
mol_000361,372.65,39
mol_000362,372.65,40
mol_000363,372.65,36
mol_000364,372.65,21
mol_000365,372.65,31
mol_000366,372.65,29
mol_000367,372.65,32
mol_000368,372.65,29
mol_000369,372.65,25
mol_000370,372.65,27
mol_000371,372.65,44
mol_000372,372.65,39
mol_000373,372.65,31
mol_000374,372.65,26
mol_000375,372.65,38
mol_000376,372.65,35
mol_000377,372.65,26
mol_000378,372.65,29
mol_000379,372.65,14
mol_000380,372.65,20
mol_000381,372.65,33
mol_000382,372.65,43
mol_000383,372.65,35
mol_000384,372.65,41
mol_000385,372.65,35
mol_000386,372.65,43
mol_000387,372.65,45
mol_000388,372.65,19
mol_000389,372.65,32
mol_000390,372.65,43
mol_000391,373.2,30
mol_000392,374.99,23
mol_000393,372.35,32
mol_000394,372.2,26
mol_000395,372.1,23
mol_000396,372.65,33
mol_000397,372.3,32
mol_000398,372.15,39
mol_000399,372.15,41
mol_000400,372.15,35
mol_000401,372.15,38
mol_000402,372.15,32
mol_000403,372.15,31
mol_000404,372.15,29
mol_000405,372.15,45
mol_000406,372.05,26
mol_000407,371.9,28
mol_000408,371.9,31
mol_000409,371.9,25
mol_000410,371.9,17
mol_000411,371.9,29
mol_000412,371.9,41
mol_000413,371.85,19
mol_000414,375.15,34
mol_000415,372.65,27
mol_000416,372.6,34
mol_000417,372.4,31
mol_000418,372.4,24
mol_000419,372.4,47
mol_000420,372.4,25
mol_000421,373.0,36
mol_000422,372.35,41
mol_000423,371.75,42
mol_000424,371.4,32
mol_000425,371.35,37
mol_000426,372.0,42
mol_000427,371.9,30
mol_000428,371.9,23
mol_000429,371.9,38
mol_000430,371.9,36
mol_000431,371.9,47
mol_000432,371.9,42
mol_000433,371.85,19
mol_000434,371.65,17
mol_000435,371.65,41
mol_000436,371.65,35
mol_000437,371.65,19
mol_000438,371.65,29
mol_000439,371.65,25
mol_000440,371.65,20
mol_000441,371.65,20
mol_000442,371.65,28
mol_000443,371.65,28
mol_000444,371.65,33
mol_000445,371.65,21
mol_000446,371.65,38
mol_000447,371.65,35
mol_000448,371.65,25
mol_000449,371.65,38
mol_000450,371.65,21
mol_000451,371.65,36
mol_000452,371.65,39
mol_000453,371.65,28
mol_000454,371.65,25
mol_000455,371.65,35
mol_000456,371.65,35
mol_000457,371.65,39
mol_000458,371.65,37
mol_000459,371.65,22
mol_000460,371.65,33
mol_000461,371.65,18
mol_000462,371.65,17
mol_000463,371.65,37
mol_000464,371.65,37
mol_000465,371.65,25
mol_000466,371.65,39
mol_000467,371.65,20
mol_000468,371.65,27
mol_000469,371.65,27
mol_000470,371.65,30
mol_000471,371.65,31
mol_000472,371.65,23
mol_000473,371.65,20
mol_000474,371.65,28
mol_000475,371.65,37
mol_000476,371.65,36
mol_000477,371.65,39
mol_000478,371.65,25
mol_000479,371.65,34
mol_000480,371.65,22
mol_000481,371.65,25
mol_000482,371.65,27
mol_000483,371.65,38
mol_000484,371.65,39
mol_000485,371.65,22
mol_000486,371.65,37
mol_000487,371.65,39
mol_000488,371.65,34
mol_000489,371.65,37
mol_000490,371.65,41
mol_000491,371.65,36
mol_000492,371.65,43
mol_000493,371.65,28
mol_000494,371.65,29
mol_000495,371.65,26
mol_000496,371.65,23
mol_000497,371.65,34
mol_000498,371.65,33
mol_000499,371.65,37
mol_000500,371.65,30
mol_000501,371.65,25
mol_000502,371.65,17
mol_000503,371.65,28
mol_000504,371.65,32
mol_000505,371.65,23
mol_000506,371.65,31
mol_000507,371.65,22
mol_000508,371.65,27
mol_000509,371.65,20
mol_000510,371.65,27
